1,Kelsey,Purral,10000
2,Tabbi,Smečno,10500
3,Lebbie,Nacka,11000
4,Anestassia,Jombang,11500
5,Lizzy,Zielona Góra,12000
6,Gardie,Negotino,12500
7,Burg,Pasirsongket Dua,13000
8,Brina,Pulangbato,13500
9,Gerome,Naguilian,14000
10,Nixie,Tekes,14500
11,Georgiana,Verkhnyaya Toyma,15000
12,Mack,Cradock,15500
13,Burk,Cihambali,16000
14,Fredia,Sambopinggir,16500
15,Boothe,Acolla,17000
16,Gaspar,Sukarara Utara,17500
17,Kendra,Pīrgaaj,18000
18,Gert,Urho,18500
19,Glenda,Venilale,19000
20,Cathyleen,Agana Heights Village,19500
21,Darren,Nanning,20000
22,Pollyanna,Meilin,20500
23,Sibbie,Benzilan,21000
24,Coraline,Cabudare,21500
25,Ede,Le Havre,22000
26,Tresa,Kudamatsu,22500
27,Westley,Skärholmen,23000
28,Poppy,Taznakht,23500
29,Arda,Brejos,24000
30,Anett,Mehrābpur,24500
31,Ardath,Cachachi,25000
32,Wildon,Zdounky,25500
33,Fons,Tlutup,26000
34,Adams,Kurume,26500
35,Bennett,Barranca,27000
36,Franciskus,Baykalovo,27500
37,Marjory,Maonon,28000
38,Rafferty,Buenaventura,28500
39,Phylis,Lindavista,29000
40,Myrtie,Luhačovice,29500
41,Edmund,Jiuheyuan,30000
42,Glenn,Paiçandu,30500
43,Kizzie,Tuapukan,31000
44,Emlyn,Joal-Fadiout,31500
45,Rustie,Chesapeake,32000
46,Elvyn,Pierzchnica,32500
47,Tiffy,Loja,33000
48,Tansy,Long Beach,33500
49,Jelene,Karabash,34000
50,Jessamine,Bingerville,34500
51,Ross,San Justo,35000
52,Cam,Nansha,35500
53,Harrietta,Jirny,36000
54,Jose,Świdnica,36500
55,Nealon,Sanbao,37000
56,Lorrie,Changle,37500
57,Cort,Xiaxi,38000
58,Aime,Ambatofinandrahana,38500
59,Camala,Qinhong,39000
60,Mitchell,Rezé,39500
61,Lacie,Situ,40000
62,Cammy,Dami,40500
63,Mack,Kandava,41000
64,Lib,Gapyeong,41500
65,Ninnette,Shangping,42000
66,Nell,Mohoro,42500
67,Audie,Plavsk,43000
68,Gale,Tugdan,43500
69,Franky,Sannikovo,44000
70,Jarrid,Bornu Yassu,44500
71,Consalve,Mapiripán,45000
72,Renate,Matanza,45500
73,Marion,Debrecen,46000
74,Celesta,Thames,46500
